Text Review,Predicted Title Review,Human Score
produto de má qualidade na hora de ralar solta limalha de alumínio porque o cilindro raspa na caixa do ralador .,produto de má qualidade,1
meu produto veio com uma peça quebrada e no site das americanas não disponibiliza este tipo de atendimento fora do prazo dos dias apos a data do recebimento . o que é injusto já que é algo que tem que pagar pra montar/ esperar o montador . enfim gostaria de resoluções,produto veio quebrado,1
produto bem acabado baita de camera fontal e ttraseira,produto bom,1
"recomendo a todos termômetro muito bom , esse é melhor que o submerso que entra água e não dura muito . aconselho a todos a comprar esse , e não o submerso .",excelente,1
gostei do produto muito bom recomendo o produto para quem quiser comprar,gos ##te muito do,1
produto muito bom . chegou antes do prazo esperado . adorei a compra .,gos gos ##te muito,1
"as crianças amaram  jogo divertido e muito lúdico . recomendo . o prazo pra entrega foi cumprido , preço pela americanas foi mais baixo que lojas físicas e outros da internet",gos ##te muito do,1
os pendentes atenderam as minhas expectativas . a entrega foi rápida,gos gos muito,0.5
"mochila de tamanho satisfatório , pecando apenas em poucos compartimentos de bolsos frontais e laterais que não possui nenhum , porém internamente muito possui bastante espaço com bolso para laptop , e seu design é muito bonito como um todo . entrega antes do prazo informado , estou muito satisfeito com o custo beneficio do produto .",mo ##chi ##la de,0
atraso muito grande na entrega . ainda não recebi este produto .,atraso,1
"extremamente frustrante , comprar um monitor que você sabe que só tem entrada vga e ele não vim com o cabo vga , chegou o aparelho e não consigo usar , vou ter que comprar um cabo . veio apenas um campo dp , que eu particularmente que já trabalhei com t . i . nunca vi , deve ser só computador da dell pra ter essa entrada . nossa , ridículo , estou decepcionado . o produto em si é bom , mas não sei pra que publico é destinado , já que a grande maioria dos computadores hoje em dia são hdmi ou vga .",não gos ##te,1
"o celular é excelente . custo benefício é ótimo . câmera boa , flash frontal . cumpre bem com as funções .",excelente,1
"boa duração , não esquenta , compatível com o ultrabook hp .",bom,1
"a parte inferior do painel dessa tv apresenta brilho maior que o restante da tela . principalmente nas imagens mais escuras . pelo que eu andei pesquisando na internet , é defeito inerente a este modelo de tv . não comprem .",produto bom,0
produto entregue antes do prazo  design bonito dentro das expectativas,gos gos gos gos,1
"já utilizava esse tipo de aspirador de pó , eis que de fácil manuseio , leve e se adapta a qualquer ambiente . mas desta vez , ao necessitar de um novo , comprei o philco . sensacional . barulho faz , como todo eletrodoméstico que funciona , porém é um pouco mais baixo que outras marcas . indico . e desta vez , comprei duas unidades , um para minha filha , para substituir pelo aparelho grande que tinha e apenas ocupava espaço , pois difícil o manuseio .",gos gos muito,1
