Text Review,Predicted Title Review,Human Score
"parabéns entrega antes do prazo , produto como anunciado , super indico . ",gostei muito do produto,1
"o produto é maravilhoso , me surpreendeu vale a pena cada centavos . ",excelente,1
"comprei o produto no dia // . nâo recebí no prazo marcado . após mais de dias de atrazo , o produto chegou em minha residência , não recebi e fiz a devolução . hoje é // . ",não recomendo,1
game que estava faltando na minha coleção . valeu americanas pela promoção,bom,0.5
chegou rápido e é um ótimo produto recomendo esse parceiro .,gostei muito do produto,0
"produto é bem fabricado , mas as divisórias internas muito mal feitas e mal . não é eficiente para guardar as coisas no seu interior . fica muita coisa solta e o espaço interno não é muito grande . ",produto com defeito,1
"esse patê serve em várias quando o animal apresenta para comer , basta misturar um pouco desse patê no alimento seco , estimulando o apetite . também serve como 'embalagem' para comprimidos , cápsulas e outros tipos de medicamentos que precisam ser por via oral . basta envolver o comprimido por exemplo numa bolinha de e oferecer ao animal . ",produto com defeito,0
"note maravilhoso , bonito , performance excelente . atendeu as minhas expectativas . ",excelente produto,1
"fechadura externa e recebi externas . quando liguei para trocar o produto a americanas me informou que eu que tenho que levar no correio para apostar , que falta de consideração a americanas que entregou errado e eu que tenho que sair de casa para postar no correio , arrumar um erro que foi do parceiro madeira madeira ? não comprem desses parceiros . ",nao é original,1
"o produto não atendeu minhas necessidades , era pra por no quarto do meu filho e pra assistir netflix , mas não deu certo . foi uma compra péssima , como eu tirei o lacre não pude trocar . ",não gostei,1
"amei meu produto , só acho que deveria vir um pequeno manual e nas fotos na internet , aparecer que ela tem uma alça pra apoiar o colchão pra não deixar descer a tampa . recomendo ",muito bom,1
"veio super rápido , produto com ótimo acabamento , é um tamanho interno grande , e painel digital bem bonito ",produto de qualidade,1
sem dúvidas foi o melhor preço e excelente produto com certeza recomendo e farei novas compras espero que continue assim sempre obrigado,excelente,1
"ótimo recomendo produto original na caixa na motorola custa r , . ",ótimo produto,1
"o produto é muito diferente do que aparece nas fotos , deveriam explicar melhor as caracteristicas do produto tais como qual o tecido ele é confeccionado , qual a forma que é posto no colchão , e etc . ",produto de qualidade,0
"americanas , marca renomada , o produto atende as necessidades básicas , é um pouco lento para jogos por exemplo . mas assisto netflix , youtube , videos do facebook sem travar . como outros aparelhos de outras marcas , precisa comprar a chave para utilizar office , vem com mês gratuito . tela bem grande , sério , recomendo pelo custo benefício . ",ótimo custo benefício,1
